ts,device,type,value
1761239305.191316,sht40_sensor_1,humidity,50.94285583496094
1761239306.1943607,sht40_sensor_1,temperature,21.58464813232422
1761239306.208324,sht40_sensor_1,humidity,50.90470886230469
1761239307.1899374,sht40_sensor_1,temperature,21.59532928466797
1761239307.2059302,sht40_sensor_1,humidity,50.88182067871094
1761239308.1792278,sht40_sensor_1,temperature,21.597999572753906
1761239308.1882122,sht40_sensor_1,humidity,50.879913330078125
1761239309.1842296,sht40_sensor_1,temperature,21.600669860839844
1761239309.1959336,sht40_sensor_1,humidity,50.830318450927734
1761239310.187467,sht40_sensor_1,temperature,21.61402130126953
1761239310.1934638,sht40_sensor_1,humidity,50.845577239990234
1761239311.1806545,sht40_sensor_1,temperature,21.600669860839844
1761239311.1886551,sht40_sensor_1,humidity,50.84939193725586
1761239312.180326,sht40_sensor_1,temperature,21.597999572753906
1761239312.239267,sht40_sensor_1,humidity,50.84939193725586
1761239313.202325,sht40_sensor_1,temperature,21.608680725097656
1761239313.2176979,sht40_sensor_1,humidity,50.82650375366211
1761239314.1779957,sht40_sensor_1,temperature,21.608680725097656
1761239314.1939082,sht40_sensor_1,humidity,50.807430267333984
1761239315.1803284,sht40_sensor_1,temperature,21.62470245361328
1761239315.1930914,sht40_sensor_1,humidity,50.84366989135742
1761239316.1856859,sht40_sensor_1,temperature,21.643394470214844
1761239316.1979809,sht40_sensor_1,humidity,50.81887435913086
1761239317.183149,sht40_sensor_1,temperature,21.640724182128906
1761239317.2493339,sht40_sensor_1,humidity,50.80170822143555
1761239318.180303,sht40_sensor_1,temperature,21.63538360595703
1761239318.1907787,sht40_sensor_1,humidity,50.815059661865234
1761239319.1844165,sht40_sensor_1,temperature,21.630043029785156
1761239319.2079582,sht40_sensor_1,humidity,50.799800872802734
1761239320.1799119,sht40_sensor_1,temperature,21.62470245361328
1761239320.1946578,sht40_sensor_1,humidity,50.79026412963867
1761239321.182747,sht40_sensor_1,temperature,21.640724182128906
1761239321.1911528,sht40_sensor_1,humidity,50.76737594604492
1761239322.182061,sht40_sensor_1,temperature,21.632713317871094
1761239322.194206,sht40_sensor_1,humidity,50.754024505615234
1761239323.1821532,sht40_sensor_1,temperature,21.64873504638672
1761239323.1932325,sht40_sensor_1,humidity,50.769283294677734
1761239324.1819289,sht40_sensor_1,temperature,21.61402130126953
1761239324.1948202,sht40_sensor_1,humidity,50.75020980834961
1761239325.1843748,sht40_sensor_1,temperature,21.63805389404297
1761239325.192958,sht40_sensor_1,humidity,50.7483024597168
1761239326.1811445,sht40_sensor_1,temperature,21.62737274169922
1761239326.1923516,sht40_sensor_1,humidity,50.71397018432617
1761239327.1826944,sht40_sensor_1,temperature,21.632713317871094
1761239327.199508,sht40_sensor_1,humidity,50.700618743896484
1761239328.2184415,sht40_sensor_1,temperature,21.651405334472656
1761239328.238942,sht40_sensor_1,humidity,50.68917465209961
1761239329.1797395,sht40_sensor_1,temperature,21.664756774902344
1761239329.1896737,sht40_sensor_1,humidity,50.76546859741211
1761239330.1858733,sht40_sensor_1,temperature,21.65674591064453
1761239330.1936412,sht40_sensor_1,humidity,50.99626159667969
